Kod stacji,DsBialka,DsGlogNorw,DsGlogNorwArch,DsJelw05,DsJgGrottgeraPM,DsJgGrottgeraPMArch,DsLegRzeczA,DsLegRzeczPM,DsLegSmok,DsLegZlotor,DsLubinMaj,DsNRudaSlupPM,DsNRudaSrebPArch,DsPolkKasz,DsSwidRynek,DsSwidRynekArch,DsWalbWysA,DsWalbWysPArch,DsWrocKorzPMArch,DsWrocOrzech,DsWrocOrzechArch,DsWrocWie,DsWrocWisA,DsZgorzMar,KpBydgUjejskiego,KpBydgWPola,KpCiechoTezniowa,KpGrudzIkara,KpInowrSolan,KpInowrSolankowa,KpKoniczZMSP,KpNakloPiotraSkargi,KpSadlog,KpTorunDziewulsk,KpTorunLotnisko,KpTorunSzpMiejski,KpWloclLady,KpWloclOkrzei,KpWloclSielska,LbBialaPOrzechowa,LbChelmSzpWSSE,LbDorohWIOS,LbLublinOgrod,LbLublinPiel,LbLublin_Sliwins_5,LbLublinSpokojna,LbPulawySkowieszynska,LbZamoscHrubieszowsk,LbZamoscWSSE,LdKutnoWIOSMWilcza,LdLodzWIOSACzernik,LdLodzWIOSARubinst,LdLodzWSSEMLegiono,LdLodzWSSEMRudzka,LdLodzWSSEMWodna40,LdPabianWIOSAKonstan,LdRadomsWSSEMZeromsk,LdSieradWSSEMGrunwal,LdSkiernWSSEMReymont,LdZgierzWSSEMStRynek,LuGorzowWIOS_AUT,LuZgoraWIOS_AUT,MpBochniWSSEKons0105,MpChrzanWSSEGrzy0301,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MpMaPodhWIOSKosc1508,MpMyslenWIOSRyne0906,MpNoTargWSSESzaf1102,MpNSaczWIOSPija6204,MpNSaczWSSETarn6202,MpOswiecWIOSSnia1304,MpOswiecWSSEWiez1301,MpProszWIOSKrol1404,MpTarnowWSSEMosc6301,MpTarnowWSSEWest6302,MpTrzebiWIOSPils0303,MpWadowiWIOSPSka1805,MpWadowiWIOSPska1807,MpWielicWIOSNiep1904,MzCiechStrazacka,MzLegionBronWSSE,MzLegionZegIMGW,MzNowDwChemWSSE,MzOstMazSikorWSSE,MzOstrolTargowa,MzOtwockBrzozWSSE,MzPiaseczDworWSSE,MzPiastowPulask,MzPlockKolegWSSE,MzPruszKraszeWSSE,MzRadomCz,MzRadomCzWSSE,MzSochPlocWSSE,MzTluszczJKiel,MzWarszAKrzywon,MzWarszBernWoda,MzWarszBorKomWSSE,MzWarszKrucza,MzWarszSGGW,MzWarszZelazWSSE,MzWarZeganWSSE,MzWolOgrodowa,OpBrzeg101,OpGlub1pyl,OpGora12728,OpNamys2pyl,OpOlesno3pyl,OpPrud189p,OpStrzel247,OpZdze12392,PdBialyLegionowa8,PdLomzaSikorskiego,PdSuwPulaski,PkJasloWIOSFlor,PkPrzemWIOSPDom,PkRzeszWIOSSzop,PkRzeszWSSEPilsud,PkRzeszWSSEWierzb,PkSanokWSSEJezier,PkTarnobWSSE1Maja,Pm.00.s481m,Pm.06.s712m,Pm14TCZEw06m,Pm.15.s129m,Pm.63.s079m,Pm.63.wDSMm,SkKielJagiel,SkOstrowSams,SkOstrowWios,SkOzarowMiec,SkOzarowOsWz,SkPolanTrzc,SkStaracZlota,SlBielbBiel_kossa,SlCieszCies_dojaz,SlCzestCzes_baczy,SlDabroDabr_1000L,SlKatowKato_kossu,SlLubliLubl_piask,SlMiastMias_norwi,SlMiastMias_zygli,SlRacibRaci_boruc,SlRacibRaci_studz,SlRybniRybn_borki,SlWodziWodz_bogum,SlZabrzZabr_sklod,SlZawieZawi_pilsu,SlZywieZywi_koper,WmDzialdWSSE_Biedraw,WmElblagWSSE_Krole,WmElkWIOS_PM10,WmOlsztyWSSE_Zolnier,WmPuszcz_IOS_Borecka,WpGnieznoPM10,WpLeszno411000,WpOstrowWlkpPM10,WpPila5710111,WpPoznanPM10szpital,WpPoznanSzymanowskiego17,WpWKP008,ZpGryfWiduchowa003,ZpKoszalinWSSE,ZpSwinoujscieWSSE,ZpSzczecin002,ZpSzczecinWSSE
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2005 0:00,,16,16,4,,,,,,,,,,,,,31.417,40,,,,,17,,,13,13,,,,,,10,8,7,,,,,,12,15,30,24,45,,17,,,,18,18,36,25,,25,32,18,21,32,32.174,,69,,63.417,43.25,104,26,,,43,,,50,,,43.583,72,,40,19,,,,,,13,18,16,,,26,26,,,16,,,26,,17,24,,,,,,,,,,29,22.739,20.391,,,28.417,,,40,,18,,,,10,24,27,,35,,,38,23,,,,,,,,,,,,,,,,15,,,11.9,14.76,27,32,,22.93,32,23,14,7.8,,,27,
1/2/2005 0:00,,10,10,2.875,,,,,,,,,,,,,11.667,10,,,,,14,,,5,,,,,,,12,19,6,,,,,8,9,,20,17,,,14,,,,10,14.304,22,,,,15,8,14,15,14.875,,27,,36.208,26.792,41,20,,,21,,,31,,,31.435,16,,24,21,16,,,,,9,12,,,,22,22,,,10,,,18,,13,16,,,,,,,,,,19,18.25,11.739,,,21.292,,,,,8,,,,12,14,19,,22,23,11,29,15,,,,,,,,,,,,,,,,1.5,,,4.5,7.28,31,,,9.29,17,8,,6.3,,,16,
1/3/2005 0:00,12.7,11,11,3.792,,,,,12.5,25.2,10,,,,,,8.292,7,,,,10,11,,7,8,9,,,,24,,7,44,2,,,,9,3,13,13,16,15,,,10,22,18,23,10,12.458,24,,,13,15,10,8,14,9.292,,15,,32.522,19.458,24,19,,,20,,,34,,,27.375,12,,21,16,14,,,,,9,12,,,,44,44,,,11,,,20,,15,18,,,,,,,,,21.6,15,17.043,9.042,15,28,19.833,,,6,3,15,8,,,0,17,10,,12,24,9,,11,,,,,,,47,21,7,,,,,16,,2.9,4,,16.3,11.55,26,38,,10.39,18,8,18,2.2,8,,11,
1/4/2005 0:00,16.8,15,15,3.125,,,13,,20.9,20.9,14,,,11,17,17,5.958,10,,,,17,18,,2,7,,,10,10,21,19,5,14,3,,,23.6,,8,16,,17,15,,,12,13,19,,12,9.696,19,,,11,16,10,8,14,10.652,,16,,27.375,13.375,19,30,,,11,,,32,,,20.826,14,,17,16,10,,,15,,8,12,,,,29,29,,,10,,,18,,13,15,,,,,,,,,,18,40.333,26.727,13,17,14.875,9,,,,15,6,,,10,17,11,,8,14,8,,13,,,,,,,,,,,,76,,,,3.3,2,,4.7,10.24,45,,,,24,12,19,3.6,11,,16,
1/5/2005 0:00,26.7,15,15,4.5,23,23,14,9,29.3,37.8,25,,,9,31,31,13.875,17,,,,20,26,5,3,12,9,,11,11,12,20,10,65,6,,,36.2,29,3,19,14,19,18,18,,17,25,25,,19,14.5,35,,,16,25,15,21,30,21.333,,15,,43.75,,44,30,,,46,,,37,,,33.875,15,,18,27,9,,,13,12,11,18,,,17,38,38,,,19,12,16,15,,22,32,,21,,,,,60,,,15,16.818,14.542,19,24,24.583,,19,,12,17,13,,18,16,20,23,,18,33,24,,18,,,,,,,10,15,10,,,57,,30,,2.1,9,,14.8,7.54,33,27,17,,30,19,31,7.4,7,,18,
1/6/2005 0:00,20.8,15,15,3.875,35,35,15,14,12.6,45.5,14,,41,12,28,28,15.917,20,,,,13,25,8,7,13,,4,12,12,9,31,26,7,14,,,,,,25,,25,23,24,,20,30,26,,19,19.375,30,,,23,21,14,22,21,22.292,,23,,,,33,26,,32.043,33,,,44,,,30.5,19,,30,25,13,,13,11,10,13,,,,12,27,27,,,16,6,15,48,,22,25,,,,,,,,,,20,26.583,,,,27.625,17,17,8,,13,12,,15,14,18,14,,40,32,19,,34,,,,,,,,,,,,72,,,,1.9,2,,15.6,15.68,27,,13,,26,16,28,7.3,18,,22,
1/7/2005 0:00,,12,12,3.75,30,30,28,14,,,27,,32,9,26,26,14.957,18,,,,23,24,5,6,10,9,4,9,9,12,30,17,24,7,,,,,13,23,13,15,26,24,,20,33,20,,18,17.5,32,,,,20,18,15,23,18,,19,,,,48,18,,29.625,57,,,57,,,32.917,14,,48,22,11,,11,9,12,9,,,,11,28,28,,,14,11,18,52,26.1,19,24,,,,7.2,,,,22,,25,25.583,,,,24.304,,,,13,11,10,,10,7,11,21,,26,27,23,,28,,,,,,,,,,,,27,,,,1.7,9,,13.5,15.54,18,25,14,14.38,20,13,29,7.3,9,,20,10
1/8/2005 0:00,,15,15,4.625,23,23,17,10,,,,,24,11,22,22,11.5,12,,,,26,14,8,11,9,,4,10,10,,32,16,26,9,,7,,,11,23,,11,21,22,,24,28,21,16,12,14.167,22,,,16,18,13,15,22,11.708,,28,,72.667,,66,34,,34.792,46,,,51,,,27.625,24,,35,14,10,,13,16,12,8,,,,9,19,19,,,11,5,16,57,24.8,14,23,,,,,,,,,,23,18.583,,,,25.75,22,22,25,,12,10,,17,11,10,15,,28,27,20,,28,,,,,,,,,,,,33,,,,5.1,7,,8.8,14.71,23,,10,13.18,17,12,16,4.2,9,,11,4
